"행정구역","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0세","2020년12월_계_1세","2020년12월_계_2세","2020년12월_계_3세","2020년12월_계_4세","2020년12월_계_5세","2020년12월_계_6세","2020년12월_계_7세","2020년12월_계_8세","2020년12월_계_9세","2020년12월_계_10세","2020년12월_계_11세","2020년12월_계_12세","2020년12월_계_13세","2020년12월_계_14세","2020년12월_계_15세","2020년12월_계_16세","2020년12월_계_17세","2020년12월_계_18세","2020년12월_계_19세","2020년12월_계_20세","2020년12월_계_21세","2020년12월_계_22세","2020년12월_계_23세","2020년12월_계_24세","2020년12월_계_25세","2020년12월_계_26세","2020년12월_계_27세","2020년12월_계_28세","2020년12월_계_29세","2020년12월_계_30세","2020년12월_계_31세","2020년12월_계_32세","2020년12월_계_33세","2020년12월_계_34세","2020년12월_계_35세","2020년12월_계_36세","2020년12월_계_37세","2020년12월_계_38세","2020년12월_계_39세","2020년12월_계_40세","2020년12월_계_41세","2020년12월_계_42세","2020년12월_계_43세","2020년12월_계_44세","2020년12월_계_45세","2020년12월_계_46세","2020년12월_계_47세","2020년12월_계_48세","2020년12월_계_49세","2020년12월_계_50세","2020년12월_계_51세","2020년12월_계_52세","2020년12월_계_53세","2020년12월_계_54세","2020년12월_계_55세","2020년12월_계_56세","2020년12월_계_57세","2020년12월_계_58세","2020년12월_계_59세","2020년12월_계_60세","2020년12월_계_61세","2020년12월_계_62세","2020년12월_계_63세","2020년12월_계_64세","2020년12월_계_65세","2020년12월_계_66세","2020년12월_계_67세","2020년12월_계_68세","2020년12월_계_69세","2020년12월_계_70세","2020년12월_계_71세","2020년12월_계_72세","2020년12월_계_73세","2020년12월_계_74세","2020년12월_계_75세","2020년12월_계_76세","2020년12월_계_77세","2020년12월_계_78세","2020년12월_계_79세","2020년12월_계_80세","2020년12월_계_81세","2020년12월_계_82세","2020년12월_계_83세","2020년12월_계_84세","2020년12월_계_85세","2020년12월_계_86세","2020년12월_계_87세","2020년12월_계_88세","2020년12월_계_89세","2020년12월_계_90세","2020년12월_계_91세","2020년12월_계_92세","2020년12월_계_93세","2020년12월_계_94세","2020년12월_계_95세","2020년12월_계_96세","2020년12월_계_97세","2020년12월_계_98세","2020년12월_계_99세","2020년12월_계_100세 이상"
"서울특별시  (1100000000)","9,668,465","9,668,465","45,165","50,482","53,099","57,331","64,404","68,808","68,085","68,257","75,438","72,676","73,776","70,062","74,955","79,461","73,398","71,470","79,105","81,820","82,413","95,406","114,046","113,005","122,481","135,873","144,710","156,132","164,766","167,478","172,930","168,990","153,016","148,131","146,240","140,184","138,811","140,377","137,812","150,721","159,550","160,264","157,562","155,036","131,923","142,835","140,652","143,585","155,782","161,763","165,067","173,977","168,100","165,625","161,482","150,915","138,608","147,255","146,459","139,819","150,635","154,658","159,897","149,721","139,410","138,976","126,456","133,512","112,961","99,591","107,975","75,455","83,992","84,540","83,055","84,766","68,193","59,529","59,974","58,114","67,961","53,952","45,303","43,763","37,489","32,947","28,717","26,011","20,923","17,100","14,573","11,268","9,536","8,391","6,722","5,239","3,615","2,662","2,031","1,995","1,423","1,069","6,792"
"서울특별시 종로구 (1111000000)","149,384","149,384","469","585","586","676","764","843","869","833","990","912","1,018","933","1,036","1,118","1,047","980","1,115","1,123","1,161","1,482","1,835","1,868","2,016","2,288","2,467","2,604","2,583","2,606","2,616","2,533","2,311","2,012","2,007","1,951","1,803","1,894","1,740","2,006","2,050","2,169","2,070","2,176","1,802","1,917","1,984","2,084","2,269","2,470","2,593","2,866","2,782","2,657","2,634","2,510","2,309","2,481","2,522","2,390","2,580","2,594","2,635","2,341","2,190","2,270","2,048","2,170","1,789","1,595","1,743","1,167","1,332","1,411","1,373","1,473","1,143","1,103","1,122","1,121","1,314","1,108","925","964","795","674","641","551","464","374","322","268","216","190","160","132","104","76","61","53","57","44","276"
"서울특별시 중구 (1114000000)","125,240","125,240","612","624","623","682","740","729","682","720","743","681","639","569","615","682","587","580","683","693","766","959","1,332","1,340","1,455","1,708","1,819","1,930","2,113","2,256","2,384","2,249","2,092","2,025","2,096","1,997","1,921","1,968","1,861","2,025","2,078","2,044","2,008","1,884","1,614","1,642","1,587","1,649","1,772","1,783","1,927","2,145","2,076","2,167","2,194","2,069","1,825","1,976","2,055","2,011","2,117","2,212","2,215","2,058","1,946","1,975","1,857","1,845","1,664","1,396","1,551","1,044","1,249","1,238","1,189","1,255","987","944","934","917","1,094","926","710","725","650","538","557","450","377","351","257","221","183","194","138","115","67","50","44","46","36","27","205"
"서울특별시 용산구 (1117000000)","230,040","230,040","1,085","1,221","1,249","1,288","1,455","1,473","1,411","1,382","1,507","1,425","1,452","1,398","1,376","1,530","1,436","1,417","1,615","1,625","1,715","2,045","2,489","2,566","2,649","3,017","3,036","3,479","3,753","3,891","4,264","4,341","4,045","3,861","3,842","3,678","3,632","3,688","3,598","3,754","4,013","3,958","3,901","3,504","3,113","3,301","3,179","3,249","3,587","3,692","4,001","4,171","4,125","4,116","3,907","3,678","3,307","3,602","3,492","3,461","3,702","3,680","3,702","3,577","3,223","3,341","2,991","3,034","2,598","2,274","2,379","1,721","1,943","1,955","1,962","1,962","1,593","1,496","1,501","1,511","1,777","1,503","1,260","1,232","1,153","1,047","948","810","679","549","480","414","324","314","241","179","135","110","97","102","70","55","371"
"서울특별시 성동구 (1120000000)","293,556","293,556","1,873","1,935","1,967","2,058","2,228","2,226","2,099","2,032","2,068","1,963","1,840","1,705","1,841","1,985","1,746","1,776","2,001","1,990","2,162","2,769","3,427","3,497","3,822","4,230","4,614","4,879","5,095","5,126","5,249","5,104","4,804","4,657","4,841","4,653","4,721","4,846","4,818","5,089","5,247","5,229","4,972","4,724","3,995","4,167","4,136","4,168","4,335","4,699","4,733","5,091","5,051","5,030","4,956","4,631","4,251","4,746","4,625","4,395","4,764","4,799","5,030","4,470","4,242","4,108","3,791","3,769","3,237","2,782","2,987","2,118","2,379","2,432","2,258","2,460","2,004","1,722","1,822","1,770","2,123","1,616","1,401","1,317","1,149","1,049","955","726","671","500","420","332","282","221","198","141","91","74","53","47","48","30","251"
"서울특별시 광진구 (1121500000)","346,682","346,682","1,402","1,612","1,672","1,753","1,912","2,163","2,101","2,194","2,426","2,337","2,378","2,242","2,456","2,643","2,518","2,376","2,596","2,750","2,683","3,289","4,248","4,483","5,160","5,796","6,506","6,970","7,422","7,421","7,687","7,247","6,269","6,140","5,891","5,481","5,332","5,298","4,959","5,413","5,653","5,547","5,438","5,268","4,397","5,018","4,753","4,964","5,306","5,561","5,708","6,069","5,861","5,766","5,842","5,539","5,114","5,360","5,168","4,975","5,367","5,549","5,659","5,241","4,941","4,817","4,264","4,541","3,715","3,249","3,645","2,388","2,656","2,546","2,765","2,702","2,183","1,869","1,940","1,894","2,134","1,739","1,459","1,434","1,255","1,066","891","835","636","494","441","339","281","259","184","169","97","83","68","53","46","37","218"
"서울특별시 동대문구 (1123000000)","342,837","342,837","1,631","1,860","1,850","2,008","2,168","2,306","2,224","2,145","2,363","2,233","2,263","2,074","2,240","2,341","2,140","2,080","2,257","2,430","2,518","3,304","4,357","4,508","5,244","5,793","6,129","6,254","6,340","6,052","5,956","5,698","5,264","4,926","4,917","4,661","4,667","4,785","4,675","5,236","5,524","5,520","5,272","5,207","4,428","4,783","4,594","4,799","5,054","5,332","5,430","5,731","5,710","5,656","5,502","5,203","5,048","5,202","5,085","4,869","5,376","5,611","5,855","5,540","5,153","5,180","4,664","5,001","4,288","3,732","4,124","2,856","3,171","3,177","3,237","3,340","2,690","2,472","2,443","2,522","2,851","2,292","1,917","1,804","1,582","1,353","1,195","1,037","922","699","586","426","356","295","246","201","122","89","80","82","69","42","313"
"서울특별시 중랑구 (1126000000)","394,702","394,702","1,761","2,012","2,092","2,191","2,475","2,559","2,321","2,483","2,624","2,546","2,481","2,375","2,469","2,547","2,508","2,358","2,658","2,901","2,951","3,511","4,176","4,201","4,564","5,176","5,505","6,088","6,492","6,556","6,906","6,448","6,015","5,798","5,814","5,574","5,552","5,526","5,531","5,761","6,297","6,256","6,352","5,908","4,920","5,296","5,107","5,256","5,722","6,119","6,277","6,926","6,738","7,007","7,152","6,839","6,439","6,893","6,918","6,584","7,286","7,672","7,676","7,273","6,538","6,496","5,908","6,169","5,304","4,529","4,876","3,453","3,723","3,779","3,736","3,809","3,038","2,631","2,672","2,568","3,055","2,434","1,952","1,941","1,628","1,376","1,200","1,089","868","699","555","450","362","300","288","187","137","101","73","65","51","37","206"
"서울특별시 성북구 (1129000000)","437,153","437,153","2,013","2,217","2,380","2,594","3,016","3,218","3,173","3,163","3,503","3,545","3,484","3,272","3,394","3,759","3,431","3,375","3,776","3,872","3,942","4,840","5,903","6,079","6,368","7,066","6,945","7,169","7,222","6,862","6,824","6,534","5,894","5,721","5,550","5,561","5,565","5,702","5,677","6,443","6,727","7,003","6,818","6,765","5,839","6,166","6,362","6,648","7,346","7,647","7,925","8,323","8,076","7,839","7,592","6,894","6,341","6,582","6,582","6,101","6,610","6,764","7,072","6,582","6,134","6,151","5,599","5,857","4,948","4,401","4,867","3,286","3,785","3,856","3,777","3,877","3,269","2,831","2,937","2,936","3,523","2,777","2,340","2,296","1,948","1,716","1,446","1,373","1,059","823","694","534","476","397","330","273","182","122","91","87","61","54","384"
"서울특별시 강북구 (1130500000)","308,055","308,055","1,003","1,149","1,309","1,503","1,651","1,694","1,658","1,807","1,979","1,961","1,986","1,967","1,949","2,121","2,025","1,975","2,216","2,427","2,455","2,906","3,507","3,604","3,913","4,291","4,356","4,594","4,755","4,613","4,789","4,522","3,905","3,828","3,733","3,530","3,557","3,670","3,637","4,084","4,419","4,394","4,422","4,534","3,818","4,211","4,184","4,364","4,893","5,208","5,302","5,782","5,540","5,460","5,535","5,223","4,733","5,177","5,026","4,998","5,368","5,582","5,800","5,464","5,030","5,031","4,615","4,908","4,249","3,689","4,062","3,044","3,302","3,404","3,479","3,567","2,793","2,599","2,651","2,604","3,151","2,537","1,960","1,890","1,601","1,387","1,264","1,079","778","646","515","396","345","294","233","180","121","102","76","63","51","44","249"
